ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
map_1,,,,,,,bouckaert2012indoeuropean,,map,
1,Afghan,,,,pash1269,2012,bouckaert2012indoeuropean,features,feature,map_1
2,Albanian,,,,alba1267,2012,bouckaert2012indoeuropean,features,feature,map_1
3,Albanian_C,,,,alba1267,2012,bouckaert2012indoeuropean,features,feature,map_1
4,Albanian_G,,,,alba1267,2012,bouckaert2012indoeuropean,features,feature,map_1
5,Albanian_K,,,,alba1267,2012,bouckaert2012indoeuropean,features,feature,map_1
6,Albanian_Top,,,,alba1267,2012,bouckaert2012indoeuropean,features,feature,map_1
7,Ancient_Greek,,,,anci1242,traditional,bouckaert2012indoeuropean,features,feature,map_1
8,Armenian_List,,,,nucl1235,2012,bouckaert2012indoeuropean,features,feature,map_1
9,Armenian_Mod,,,,alba1267,2012,bouckaert2012indoeuropean,features,feature,map_1
10,Assamese,,,,assa1263,2012,bouckaert2012indoeuropean,features,feature,map_1
11,Avestan,,,,aves1237,traditional,bouckaert2012indoeuropean,features,feature,map_1
12,Baluchi,,,,balo1260,2012,bouckaert2012indoeuropean,features,feature,map_1
13,Bengali,,,,beng1280,2012,bouckaert2012indoeuropean,features,feature,map_1
14,Bihari,,,,biha1245,2012,bouckaert2012indoeuropean,features,feature,map_1
15,Breton,,,,bret1244,2012,bouckaert2012indoeuropean,features,feature,map_1
16,Bulgarian,,,,bulg1262,2012,bouckaert2012indoeuropean,features,feature,map_1
17,Byelorussian,,,,bela1254,2012,bouckaert2012indoeuropean,features,feature,map_1
18,Catalan,,,,stan1289,2012,bouckaert2012indoeuropean,features,feature,map_1
19,Classical_Armenian,,,,nucl1235,2012,bouckaert2012indoeuropean,features,feature,map_1
20,Cornish,,,,corn1251,2012,bouckaert2012indoeuropean,features,feature,map_1
21,Czech,,,,czec1258,2012,bouckaert2012indoeuropean,features,feature,map_1
22,Czech_E,,,,czec1258,2012,bouckaert2012indoeuropean,features,feature,map_1
23,Danish,,,,dani1285,2012,bouckaert2012indoeuropean,features,feature,map_1
24,Digor_Ossetic,,,,digo1242,2012,bouckaert2012indoeuropean,features,feature,map_1
25,Dutch_List,,,,mode1257,2012,bouckaert2012indoeuropean,features,feature,map_1
26,English_ST,,,,stan1293,2012,bouckaert2012indoeuropean,features,feature,map_1
27,Faroese,,,,faro1244,2012,bouckaert2012indoeuropean,features,feature,map_1
28,Flemish,,,,vlaa1240,2012,bouckaert2012indoeuropean,features,feature,map_1
29,French,,,,stan1290,2012,bouckaert2012indoeuropean,features,feature,map_1
30,Frisian,,,,west2354,2012,bouckaert2012indoeuropean,features,feature,map_1
31,Friulian,,,,friu1240,2012,bouckaert2012indoeuropean,features,feature,map_1
32,German_ST,,,,high1289,2012,bouckaert2012indoeuropean,features,feature,map_1
33,Gothic,,,,goth1244,traditional,bouckaert2012indoeuropean,features,feature,map_1
34,Greek_ML,,,,mode1248,traditional,bouckaert2012indoeuropean,features,feature,map_1
35,Greek_Mod,,,,alba1267,2012,bouckaert2012indoeuropean,features,feature,map_1
36,Gujarati,,,,guja1252,2012,bouckaert2012indoeuropean,features,feature,map_1
37,Hindi,,,,hind1269,2012,bouckaert2012indoeuropean,features,feature,map_1
38,Hittite,,,,hitt1242,traditional,bouckaert2012indoeuropean,features,feature,map_1
39,Icelandic_ST,,,,icel1247,2012,bouckaert2012indoeuropean,features,feature,map_1
40,Irish_A,,,,iris1253,2012,bouckaert2012indoeuropean,features,feature,map_1
41,Iron_Ossetic,,,,digo1242,2012,bouckaert2012indoeuropean,features,feature,map_1
42,Italian,,,,ital1282,2012,bouckaert2012indoeuropean,features,feature,map_1
43,Kashmiri,,,,kash1277,2012,bouckaert2012indoeuropean,features,feature,map_1
44,Kurdish,,,,kurd1259,2012,bouckaert2012indoeuropean,features,feature,map_1
45,Ladin,,,,ladi1250,2012,bouckaert2012indoeuropean,features,feature,map_1
46,Lahnda,,,,west2386,2012,bouckaert2012indoeuropean,features,feature,map_1
47,Latin,,,,lati1261,traditional,bouckaert2012indoeuropean,features,feature,map_1
48,Latvian,,,,latv1249,2012,bouckaert2012indoeuropean,features,feature,map_1
49,Lithuanian,,,,lith1251,2012,bouckaert2012indoeuropean,features,feature,map_1
50,Lithuanian_ST,,,,lith1251,2012,bouckaert2012indoeuropean,features,feature,map_1
51,Lusatian_L,,,,sorb1249,2012,bouckaert2012indoeuropean,features,feature,map_1
52,Lusatian_U,,,,sorb1249,2012,bouckaert2012indoeuropean,features,feature,map_1
53,Luvian,,,,luvi1235,traditional,bouckaert2012indoeuropean,features,feature,map_1
54,Luxembourgish,,,,luxe1241,2012,bouckaert2012indoeuropean,features,feature,map_1
55,Lycian,,,,lyci1241,traditional,bouckaert2012indoeuropean,features,feature,map_1
56,Macedonian,,,,mace1250,2012,bouckaert2012indoeuropean,features,feature,map_1
57,Marathi,,,,mara1378,2012,bouckaert2012indoeuropean,features,feature,map_1
58,Marwari,,,,marw1260,2012,bouckaert2012indoeuropean,features,feature,map_1
59,Nepali_List,,,,nepa1254,2012,bouckaert2012indoeuropean,features,feature,map_1
60,Old_Church_Slavonic,,,,chur1257,traditional,bouckaert2012indoeuropean,features,feature,map_1
61,Old_English,,,,stan1293,2012,bouckaert2012indoeuropean,features,feature,map_1
62,Old_High_German,,,,high1289,2012,bouckaert2012indoeuropean,features,feature,map_1
63,Old_Irish,,,,iris1253,2012,bouckaert2012indoeuropean,features,feature,map_1
64,Old_Norse,,,,oldn1244,traditional,bouckaert2012indoeuropean,features,feature,map_1
65,Old_Persian,,,,oldp1254,traditional,bouckaert2012indoeuropean,features,feature,map_1
66,Old_Prussian,,,,prus1238,traditional,bouckaert2012indoeuropean,features,feature,map_1
67,Oriya,,,,oriy1255,2012,bouckaert2012indoeuropean,features,feature,map_1
68,Oscan,,,,osca1245,traditional,bouckaert2012indoeuropean,features,feature,map_1
69,Ossetic,,,,digo1242,2012,bouckaert2012indoeuropean,features,feature,map_1
70,Persian_List,,,,oldp1254,2012,bouckaert2012indoeuropean,features,feature,map_1
71,Polish,,,,poli1260,2012,bouckaert2012indoeuropean,features,feature,map_1
72,Portuguese_ST,,,,port1283,2012,bouckaert2012indoeuropean,features,feature,map_1
73,Provencal,,,,occi1239,2012,bouckaert2012indoeuropean,features,feature,map_1
74,Riksmal,,,,norw1258,2012,bouckaert2012indoeuropean,features,feature,map_1
75,Romani_Gypsy_GK,,,,roma1329,2012,bouckaert2012indoeuropean,features,feature,map_1
76,Romanian_List,,,,roma1327,2012,bouckaert2012indoeuropean,features,feature,map_1
77,Romansh,,,,roma1326,2012,bouckaert2012indoeuropean,features,feature,map_1
78,Russian,,,,russ1263,2012,bouckaert2012indoeuropean,features,feature,map_1
79,Sardinian_C,,,,sard1257,2012,bouckaert2012indoeuropean,features,feature,map_1
80,Sardinian_L,,,,sard1257,2012,bouckaert2012indoeuropean,features,feature,map_1
81,Sardinian_N,,,,sard1257,2012,bouckaert2012indoeuropean,features,feature,map_1
82,Scots_Gaelic,,,,scot1243,2012,bouckaert2012indoeuropean,features,feature,map_1
83,Serbocroatian,,,,sout1528,2012,bouckaert2012indoeuropean,features,feature,map_1
84,Sindhi,,,,sind1272,2012,bouckaert2012indoeuropean,features,feature,map_1
85,Singhalese,,,,sinh1246,2012,bouckaert2012indoeuropean,features,feature,map_1
86,Slovak,,,,slov1269,2012,bouckaert2012indoeuropean,features,feature,map_1
87,Slovenian,,,,slov1268,2012,bouckaert2012indoeuropean,features,feature,map_1
88,Spanish,,,,stan1288,2012,bouckaert2012indoeuropean,features,feature,map_1
89,Swedish_List,,,,swed1254,2012,bouckaert2012indoeuropean,features,feature,map_1
90,Swedish_Up,,,,swed1254,2012,bouckaert2012indoeuropean,features,feature,map_1
91,Swedish_VL,,,,olds1252,traditional,bouckaert2012indoeuropean,features,feature,map_1
92,Tadzik,,,,taji1245,2012,bouckaert2012indoeuropean,features,feature,map_1
93,Tocharian_A,,,,tokh1242,traditional,bouckaert2012indoeuropean,features,feature,map_1
94,Tocharian_B,,,,tokh1242,2012,bouckaert2012indoeuropean,features,feature,map_1
95,Ukrainian,,,,ukra1253,2012,bouckaert2012indoeuropean,features,feature,map_1
96,Umbrian,,,,umbr1253,traditional,bouckaert2012indoeuropean,features,feature,map_1
97,Urdu,,,,hind1269,2012,bouckaert2012indoeuropean,features,feature,map_1
98,Vedic,,,,vedi1234,traditional,bouckaert2012indoeuropean,features,feature,map_1
99,Vlach,,,,arom1237,2012,bouckaert2012indoeuropean,features,feature,map_1
100,Wakhi,,,,wakh1245,2012,bouckaert2012indoeuropean,features,feature,map_1
101,Walloon,,,,wall1255,2012,bouckaert2012indoeuropean,features,feature,map_1
102,Waziri,,,,waci1238,2012,bouckaert2012indoeuropean,features,feature,map_1
