id,name,glottocode,year,map_name_full,note
1,Afghan,pash1269,2012,,
2,Albanian,alba1267,2012,,
3,Albanian_C,alba1267,2012,,
4,Albanian_G,alba1267,2012,,
5,Albanian_K,alba1267,2012,,
6,Albanian_Top,alba1267,2012,,
7,Ancient_Greek,anci1242,traditional,,
8,Armenian_List,nucl1235,2012,,
9,Armenian_Mod,alba1267,2012,,
10,Assamese,assa1263,2012,,
11,Avestan,aves1237,traditional,,
12,Baluchi,balo1260,2012,,
13,Bengali,beng1280,2012,,
14,Bihari,biha1245,2012,,
15,Breton,bret1244,2012,,
16,Bulgarian,bulg1262,2012,,
17,Byelorussian,bela1254,2012,,
18,Catalan,stan1289,2012,,
19,Classical_Armenian,nucl1235,2012,,
20,Cornish,corn1251,2012,,
21,Czech,czec1258,2012,,
22,Czech_E,czec1258,2012,,
23,Danish,dani1285,2012,,
24,Digor_Ossetic,digo1242,2012,,
25,Dutch_List,mode1257,2012,,
26,English_ST,stan1293,2012,,
27,Faroese,faro1244,2012,,
28,Flemish,vlaa1240,2012,,
29,French,stan1290,2012,,
30,Frisian,west2354,2012,,
31,Friulian,friu1240,2012,,
32,German_ST,high1289,2012,,
33,Gothic,goth1244,traditional,,
34,Greek_ML,mode1248,traditional,,
35,Greek_Mod,alba1267,2012,,
36,Gujarati,guja1252,2012,,
37,Hindi,hind1269,2012,,
38,Hittite,hitt1242,traditional,,
39,Icelandic_ST,icel1247,2012,,
40,Irish_A,iris1253,2012,,
41,Iron_Ossetic,digo1242,2012,,
42,Italian,ital1282,2012,,
43,Kashmiri,kash1277,2012,,
44,Kurdish,kurd1259,2012,,
45,Ladin,ladi1250,2012,,
46,Lahnda,west2386,2012,,
47,Latin,lati1261,traditional,,
48,Latvian,latv1249,2012,,
49,Lithuanian,lith1251,2012,,
50,Lithuanian_ST,lith1251,2012,,
51,Lusatian_L,sorb1249,2012,,
52,Lusatian_U,sorb1249,2012,,
53,Luvian,luvi1235,traditional,,
54,Luxembourgish,luxe1241,2012,,
55,Lycian,lyci1241,traditional,,
56,Macedonian,mace1250,2012,,
57,Marathi,mara1378,2012,,
58,Marwari,marw1260,2012,,
59,Nepali_List,nepa1254,2012,,
60,Old_Church_Slavonic,chur1257,traditional,,
61,Old_English,stan1293,2012,,
62,Old_High_German,high1289,2012,,
63,Old_Irish,iris1253,2012,,
64,Old_Norse,oldn1244,traditional,,
65,Old_Persian,oldp1254,traditional,,
66,Old_Prussian,prus1238,traditional,,
67,Oriya,oriy1255,2012,,
68,Oscan,osca1245,traditional,,
69,Ossetic,digo1242,2012,,
70,Persian_List,oldp1254,2012,,
71,Polish,poli1260,2012,,
72,Portuguese_ST,port1283,2012,,
73,Provencal,occi1239,2012,,
74,Riksmal,norw1258,2012,,
75,Romani_Gypsy_GK,roma1329,2012,,
76,Romanian_List,roma1327,2012,,
77,Romansh,roma1326,2012,,
78,Russian,russ1263,2012,,
79,Sardinian_C,sard1257,2012,,
80,Sardinian_L,sard1257,2012,,
81,Sardinian_N,sard1257,2012,,
82,Scots_Gaelic,scot1243,2012,,
83,Serbocroatian,sout1528,2012,,
84,Sindhi,sind1272,2012,,
85,Singhalese,sinh1246,2012,,
86,Slovak,slov1269,2012,,
87,Slovenian,slov1268,2012,,
88,Spanish,stan1288,2012,,
89,Swedish_List,swed1254,2012,,
90,Swedish_Up,swed1254,2012,,
91,Swedish_VL,olds1252,traditional,,
92,Tadzik,taji1245,2012,,
93,Tocharian_A,tokh1242,traditional,,
94,Tocharian_B,tokh1242,2012,,
95,Ukrainian,ukra1253,2012,,
96,Umbrian,umbr1253,traditional,,
97,Urdu,hind1269,2012,,
98,Vedic,vedi1234,traditional,,
99,Vlach,arom1237,2012,,
100,Wakhi,wakh1245,2012,,
101,Walloon,wall1255,2012,,
102,Waziri,waci1238,2012,,
103,Welsh_C_N,wels1247,2012,,
104,welsh,wels1247,2012,,
